x,T
0.0201,285.745
0.0213204,285.661
0.0225408,285.683
0.0237612,285.7
0.0249816,285.709
0.026202,285.718
0.0274224,285.72
0.0286429,285.716
0.0298633,285.711
0.0310837,285.706
0.0323041,285.7
0.0335245,285.694
0.0347449,285.689
0.0359653,285.683
0.0371857,285.679
0.0384061,285.675
0.0396265,285.671
0.0408469,285.668
0.0420673,285.666
0.0432878,285.664
0.0445082,285.661
0.0457286,285.66
0.046949,285.66
0.0481694,285.659
0.0493898,285.658
0.0506102,285.658
0.0518306,285.659
0.053051,285.659
0.0542714,285.66
0.0554918,285.66
0.0567122,285.663
0.0579327,285.665
0.0591531,285.667
0.0603735,285.671
0.0615939,285.676
0.0628143,285.681
0.0640347,285.686
0.0652551,285.695
0.0664755,285.706
0.0676959,285.716
0.0689163,285.727
0.0701367,285.748
0.0713571,285.769
0.0725776,285.789
0.073798,285.815
0.0750184,285.843
0.0762388,285.871
0.0774592,285.909
0.0786796,285.971
0.0799,286.061
