x,T
0.0001,288.233
0.00110808,288.004
0.00211616,287.774
0.00312424,287.545
0.00413232,287.315
0.0051404,287.103
0.00614848,287.014
0.00715657,286.924
0.00816465,286.835
0.00917273,286.745
0.0101808,286.657
0.0111889,286.587
0.012197,286.518
0.0132051,286.448
0.0142131,286.378
0.0152212,286.306
0.0162293,286.217
0.0172374,286.127
0.0182455,286.038
0.0192535,285.949
0.0807465,285.748
0.0817545,285.776
0.0827626,285.803
0.0837707,285.831
0.0847788,285.859
0.0857869,285.832
0.0867949,285.794
0.087803,285.757
0.0888111,285.719
0.0898192,285.682
0.0908273,285.555
0.0918354,285.416
0.0928434,285.276
0.0938515,285.137
0.0948596,284.997
