x,T
0.0001,288.455
0.00110808,288.034
0.00211616,287.613
0.00312424,287.191
0.00413232,286.77
0.0051404,286.38
0.00614848,286.211
0.00715657,286.041
0.00816465,285.871
0.00917273,285.702
0.0101808,285.552
0.0111889,285.527
0.012197,285.503
0.0132051,285.478
0.0142131,285.453
0.0152212,285.437
0.0162293,285.459
0.0172374,285.481
0.0182455,285.503
0.0192535,285.525
0.0807465,285.855
0.0817545,285.907
0.0827626,285.959
0.0837707,286.012
0.0847788,286.065
0.0857869,286.061
0.0867949,286.047
0.087803,286.032
0.0888111,286.018
0.0898192,286.003
0.0908273,285.884
0.0918354,285.75
0.0928434,285.616
0.0938515,285.481
0.0948596,285.347
0.0958677,284.931
0.0968758,284.476
0.0978838,284.02
0.0988919,283.565
0.0999,283.109
