x,T
0.0201,285.289
0.0213204,285.377
0.0225408,285.434
0.0237612,285.467
0.0249816,285.49
0.026202,285.513
0.0274224,285.535
0.0286429,285.552
0.0298633,285.569
0.0310837,285.586
0.0323041,285.596
0.0335245,285.606
0.0347449,285.616
0.0359653,285.624
0.0371857,285.629
0.0384061,285.634
0.0396265,285.639
0.0408469,285.642
0.0420673,285.644
0.0432878,285.646
0.0445082,285.648
0.0457286,285.649
0.046949,285.65
0.0481694,285.651
0.0493898,285.652
0.0506102,285.653
0.0518306,285.654
0.053051,285.654
0.0542714,285.655
0.0554918,285.657
0.0567122,285.659
0.0579327,285.662
0.0591531,285.664
0.0603735,285.668
0.0615939,285.673
0.0628143,285.679
0.0640347,285.684
0.0652551,285.694
0.0664755,285.706
0.0676959,285.717
0.0689163,285.729
0.0701367,285.749
0.0713571,285.769
0.0725776,285.788
0.073798,285.811
0.0750184,285.834
0.0762388,285.858
0.0774592,285.887
0.0786796,285.925
0.0799,285.921
