x,T
-0.0099,298.034
-0.00938421,297.434
-0.00886842,296.834
-0.00835263,296.234
-0.00783684,295.634
-0.00732105,295.034
-0.00680526,294.434
-0.00628947,293.834
-0.00577368,293.234
-0.00525789,292.667
-0.00474211,292.259
-0.00422632,291.851
-0.00371053,291.443
-0.00319474,291.035
-0.00267895,290.627
-0.00216316,290.219
-0.00164737,289.811
-0.00113158,289.403
-0.000615789,288.996
-0.0001,288.588
