x,T
0.0001,289.506
0.00110808,288.993
0.00211616,288.481
0.00312424,287.969
0.00413232,287.457
0.0051404,286.982
0.00614848,286.766
0.00715657,286.55
0.00816465,286.334
0.00917273,286.118
0.0101808,285.917
0.0111889,285.81
0.012197,285.704
0.0132051,285.597
0.0142131,285.49
0.0152212,285.409
0.0162293,285.451
0.0172374,285.492
0.0182455,285.534
0.0192535,285.575
0.0807465,286.043
0.0817545,286.102
0.0827626,286.162
0.0837707,286.221
0.0847788,286.28
0.0857869,286.274
0.0867949,286.256
0.087803,286.239
0.0888111,286.221
0.0898192,286.203
0.0908273,286.048
0.0918354,285.871
0.0928434,285.694
0.0938515,285.517
0.0948596,285.341
