x,T
0.1001,282.361
0.100616,281.949
0.101132,281.536
0.101647,281.124
0.102163,280.711
0.102679,280.298
0.103195,279.886
0.103711,279.473
0.104226,279.061
0.104742,278.648
0.105258,278.236
0.105774,277.704
0.106289,277.148
0.106805,276.592
0.107321,276.037
0.107837,275.481
0.108353,274.925
0.108868,274.369
0.109384,273.814
0.1099,273.258
