# Solver information
# Time        	h_solver      	h_initial     	h_final       	h_iters       	h_converged   
7.05471       	DICPCG	2.812260e-03	5.218150e-07	1	true
7.10657       	DICPCG	3.349470e-03	7.447640e-07	1	true
7.1687        	DICPCG	3.978990e-03	1.697530e-10	2	true
7.24331       	DICPCG	4.730850e-03	2.907920e-10	2	true
7.33299       	DICPCG	5.619740e-03	4.996710e-10	2	true
7.44072       	DICPCG	6.656510e-03	8.551700e-10	2	true
7.56983       	DICPCG	7.846880e-03	1.450600e-09	2	true
7.72408       	DICPCG	9.193750e-03	2.432440e-09	2	true
7.90984       	DICPCG	1.082090e-02	4.169230e-09	2	true
8.02454       	DICPCG	6.567540e-03	9.546060e-10	2	true
8.0509        	DICPCG	1.499670e-03	1.699870e-07	1	true
8.08252       	DICPCG	1.792240e-03	2.435730e-07	1	true
8.12045       	DICPCG	2.140180e-03	3.486760e-07	1	true
8.16595       	DICPCG	2.553230e-03	4.985550e-07	1	true
8.22061       	DICPCG	3.047480e-03	7.141830e-07	1	true
8.28615       	DICPCG	3.626640e-03	1.722420e-10	2	true
8.36462       	DICPCG	4.302370e-03	2.911900e-10	2	true
8.45861       	DICPCG	5.097770e-03	4.954440e-10	2	true
8.57113       	DICPCG	6.025960e-03	8.406890e-10	2	true
8.7058        	DICPCG	7.103460e-03	1.421580e-09	2	true
8.86399       	DICPCG	8.199960e-03	2.268730e-09	2	true
8.92267       	DICPCG	3.012730e-03	7.577750e-07	1	true
8.9545        	DICPCG	1.627560e-03	2.227320e-07	1	true
8.99271       	DICPCG	1.945050e-03	3.192110e-07	1	true
9.03857       	DICPCG	2.323720e-03	4.574920e-07	1	true
9.09361       	DICPCG	2.772140e-03	6.543290e-07	1	true
9.15961       	DICPCG	3.301080e-03	9.333470e-07	1	true
9.23882       	DICPCG	3.928410e-03	2.709980e-10	2	true
9.33376       	DICPCG	4.662930e-03	4.605460e-10	2	true
9.44729       	DICPCG	5.510250e-03	7.791600e-10	2	true
9.58253       	DICPCG	6.474330e-03	1.301450e-09	2	true
9.68073       	DICPCG	4.648860e-03	4.905270e-10	2	true
9.72136       	DICPCG	1.913000e-03	3.339260e-07	1	true
9.77018       	DICPCG	2.286920e-03	4.791530e-07	1	true
9.82875       	DICPCG	2.728440e-03	6.853190e-07	1	true
9.89899       	DICPCG	3.249110e-03	9.774310e-07	1	true
9.98335       	DICPCG	3.870580e-03	3.026040e-10	2	true
10.0848       	DICPCG	4.609770e-03	5.183790e-10	2	true
10.2023       	DICPCG	5.275570e-03	7.956000e-10	2	true
10.2409       	DICPCG	1.726180e-03	2.865850e-07	1	true
10.2869       	DICPCG	2.045210e-03	4.037850e-07	1	true
10.342        	DICPCG	2.438450e-03	5.764700e-07	1	true
10.408        	DICPCG	2.903700e-03	8.216310e-07	1	true
10.4873       	DICPCG	3.461990e-03	2.400010e-10	2	true
10.5822       	DICPCG	4.104760e-03	4.041150e-10	2	true
10.6957       	DICPCG	4.862140e-03	6.832950e-10	2	true
10.8294       	DICPCG	5.656400e-03	1.103990e-09	2	true
10.8502       	DICPCG	8.770560e-04	7.857350e-08	1	true
10.8749       	DICPCG	1.038510e-03	1.103690e-07	1	true
10.9045       	DICPCG	1.242020e-03	1.582120e-07	1	true
10.94         	DICPCG	1.484450e-03	2.265930e-07	1	true
10.9826       	DICPCG	1.774600e-03	3.248370e-07	1	true
11.0338       	DICPCG	2.121190e-03	4.658370e-07	1	true
11.095        	DICPCG	2.526190e-03	6.636350e-07	1	true
11.1686       	DICPCG	3.014620e-03	9.500690e-07	1	true
11.2567       	DICPCG	3.582310e-03	3.057180e-10	2	true
11.3608       	DICPCG	4.195660e-03	4.964560e-10	2	true
11.4848       	DICPCG	4.943880e-03	8.267770e-10	2	true
11.6317       	DICPCG	5.785040e-03	1.360390e-09	2	true
11.8009       	DICPCG	6.569560e-03	2.053240e-09	2	true
11.8693       	DICPCG	2.636290e-03	7.729860e-07	1	true
11.9181       	DICPCG	1.873510e-03	3.928280e-07	1	true
11.9768       	DICPCG	2.240850e-03	5.641110e-07	1	true
12.0472       	DICPCG	2.673700e-03	8.067990e-07	1	true
12.1318       	DICPCG	3.193620e-03	2.525930e-10	2	true
12.2308       	DICPCG	3.704390e-03	3.980090e-10	2	true
12.2905       	DICPCG	2.221160e-03	5.687240e-07	1	true
12.3574       	DICPCG	2.476600e-03	7.104230e-07	1	true
12.434        	DICPCG	2.819500e-03	9.255910e-07	1	true
12.5257       	DICPCG	3.350800e-03	3.104010e-10	2	true
12.5958       	DICPCG	2.545370e-03	7.648240e-07	1	true
12.6443       	DICPCG	1.752770e-03	3.648910e-07	1	true
12.6929       	DICPCG	1.752940e-03	3.663510e-07	1	true
12.7512       	DICPCG	2.092480e-03	5.238860e-07	1	true
12.8212       	DICPCG	2.497610e-03	7.495600e-07	1	true
12.9052       	DICPCG	2.978150e-03	2.323090e-10	2	true
13.006        	DICPCG	3.546780e-03	3.954790e-10	2	true
13.1213       	DICPCG	4.023220e-03	5.837210e-10	2	true
13.1432       	DICPCG	7.599020e-04	7.148030e-08	1	true
13.1693       	DICPCG	9.090700e-04	1.024600e-07	1	true
13.2007       	DICPCG	1.087350e-03	1.468630e-07	1	true
13.2384       	DICPCG	1.302530e-03	2.112130e-07	1	true
13.2837       	DICPCG	1.557810e-03	3.029130e-07	1	true
13.3379       	DICPCG	1.860480e-03	4.334190e-07	1	true
13.4031       	DICPCG	2.224030e-03	6.216730e-07	1	true
13.4814       	DICPCG	2.659670e-03	8.930330e-07	1	true
13.5751       	DICPCG	3.157210e-03	3.051720e-10	2	true
13.6871       	DICPCG	3.746090e-03	5.139680e-10	2	true
13.8217       	DICPCG	4.461330e-03	8.764790e-10	2	true
13.9838       	DICPCG	5.305790e-03	1.502020e-09	2	true
14.1643       	DICPCG	5.839860e-03	2.056590e-09	2	true
14.178        	DICPCG	4.410750e-04	2.598270e-08	1	true
14.194        	DICPCG	5.153910e-04	3.551020e-08	1	true
14.2132       	DICPCG	6.168730e-04	5.092800e-08	1	true
14.2362       	DICPCG	7.392710e-04	7.324180e-08	1	true
14.2638       	DICPCG	8.853560e-04	1.052180e-07	1	true
14.2969       	DICPCG	1.060450e-03	1.512440e-07	1	true
14.3365       	DICPCG	1.265050e-03	2.157310e-07	1	true
14.3839       	DICPCG	1.507410e-03	3.071430e-07	1	true
14.4404       	DICPCG	1.789030e-03	4.340120e-07	1	true
14.5077       	DICPCG	2.121040e-03	6.123410e-07	1	true
14.5877       	DICPCG	2.512090e-03	8.627110e-07	1	true
14.6842       	DICPCG	3.004240e-03	3.085260e-10	2	true
14.7988       	DICPCG	3.544480e-03	5.107320e-10	2	true
14.9366       	DICPCG	4.224340e-03	8.722370e-10	2	true
15.0964       	DICPCG	4.843900e-03	1.331520e-09	2	true
15.2064       	DICPCG	3.312400e-03	4.411920e-10	2	true
15.2239       	DICPCG	5.266130e-04	3.979950e-08	1	true
15.2446       	DICPCG	6.203430e-04	5.529390e-08	1	true
15.2691       	DICPCG	7.344420e-04	7.760970e-08	1	true
15.2982       	DICPCG	8.712540e-04	1.093870e-07	1	true
15.3329       	DICPCG	1.033770e-03	1.542820e-07	1	true
15.3744       	DICPCG	1.234470e-03	2.204690e-07	1	true
15.4243       	DICPCG	1.479080e-03	3.172910e-07	1	true
15.4841       	DICPCG	1.768020e-03	4.547160e-07	1	true
15.5556       	DICPCG	2.103940e-03	6.462210e-07	1	true
15.6407       	DICPCG	2.488460e-03	9.078620e-07	1	true
