x,T
0.0001,289.859
0.00110808,289.372
0.00211616,288.885
0.00312424,288.398
0.00413232,287.911
0.0051404,287.467
0.00614848,287.315
0.00715657,287.162
0.00816465,287.01
0.00917273,286.857
0.0101808,286.715
0.0111889,286.638
0.012197,286.561
0.0132051,286.483
0.0142131,286.406
0.0152212,286.32
0.0162293,286.205
0.0172374,286.089
0.0182455,285.973
0.0192535,285.858
0.0807465,286.109
0.0817545,286.162
0.0827626,286.214
0.0837707,286.266
0.0847788,286.318
0.0857869,286.263
0.0867949,286.186
0.087803,286.109
0.0888111,286.032
0.0898192,285.955
0.0908273,285.717
0.0918354,285.453
0.0928434,285.19
0.0938515,284.927
0.0948596,284.664
