# Solver information
# Time        	U_solver      	Ux_initial    	Ux_final      	Ux_iters      	Uy_initial    	Uy_final      	Uy_iters      	Uz_initial    	Uz_final      	Uz_iters      	U_converged   	h_solver      	h_initial     	h_final       	h_iters       	h_converged   	p_rgh_solver  	p_rgh_initial 	p_rgh_final   	p_rgh_iters   	p_rgh_converged	rho_solver    	rho_initial   	rho_final     	rho_iters     	rho_converged 
1.25752       	DILUPBiCGStab	4.740610e-01	6.634100e-03	1	4.734210e-01	4.604550e-02	1	5.133030e-01	6.395330e-03	1	false	DILUPBiCGStab	5.807060e-02	1.006060e-03	1	true	GAMG	8.710970e-01	2.492720e-02	4	true	diagonal	0.000000e+00	0.000000e+00	0	true
1.42833       	DILUPBiCGStab	7.608010e-01	1.128420e-02	1	7.702490e-01	6.576100e-02	1	8.102800e-01	1.151710e-02	1	false	DILUPBiCGStab	7.503200e-02	1.392080e-03	1	true	GAMG	9.658930e-01	4.781670e-02	3	true	diagonal	0.000000e+00	0.000000e+00	0	true
1.62476       	DILUPBiCGStab	9.694960e-01	1.866130e-02	1	9.648410e-01	1.713520e-02	1	9.658050e-01	2.111160e-02	1	false	DILUPBiCGStab	2.573920e-01	7.806640e-03	1	true	GAMG	9.865310e-01	4.719240e-02	3	true	diagonal	0.000000e+00	0.000000e+00	0	true
1.65584       	DILUPBiCGStab	5.281400e-01	4.246210e-02	1	5.704600e-01	5.887350e-03	1	6.022080e-01	6.203470e-03	1	false	DILUPBiCGStab	7.532340e-02	8.858520e-04	1	true	GAMG	8.447270e-01	3.349760e-02	4	true	diagonal	0.000000e+00	0.000000e+00	0	true
1.69074       	DILUPBiCGStab	4.149960e-01	3.062450e-02	1	3.856870e-01	2.848000e-02	1	4.766060e-01	4.698630e-02	1	false	DILUPBiCGStab	6.103610e-02	8.951370e-04	1	true	GAMG	6.586630e-01	1.849840e-02	5	true	diagonal	0.000000e+00	0.000000e+00	0	true
1.73243       	DILUPBiCGStab	2.125840e-01	1.488610e-02	1	2.363550e-01	2.101060e-02	1	2.810650e-01	2.505870e-02	1	false	DILUPBiCGStab	4.326300e-02	4.323550e-03	1	true	GAMG	6.221290e-01	2.100050e-02	5	true	diagonal	0.000000e+00	0.000000e+00	0	true
1.78226       	DILUPBiCGStab	1.396810e-01	1.207790e-02	1	1.504540e-01	1.148730e-02	1	1.907960e-01	1.626100e-02	1	false	DILUPBiCGStab	4.469950e-02	5.053970e-04	1	true	GAMG	3.881260e-01	1.222340e-02	5	true	diagonal	0.000000e+00	0.000000e+00	0	true
1.8421        	DILUPBiCGStab	1.165450e-01	1.006950e-02	1	1.211540e-01	1.209590e-02	1	1.387830e-01	1.810130e-03	1	false	DILUPBiCGStab	4.252510e-02	4.148550e-03	1	true	GAMG	4.594470e-01	1.979920e-02	4	true	diagonal	0.000000e+00	0.000000e+00	0	true
1.91379       	DILUPBiCGStab	1.220370e-01	1.519840e-03	1	1.235970e-01	1.233000e-02	1	1.316670e-01	1.305850e-03	1	false	DILUPBiCGStab	4.670160e-02	6.461020e-04	1	true	GAMG	3.400590e-01	1.487380e-02	4	true	diagonal	0.000000e+00	0.000000e+00	0	true
1.99962       	DILUPBiCGStab	1.213320e-01	1.209230e-02	1	1.156160e-01	1.361580e-03	1	1.199340e-01	1.877390e-03	1	false	DILUPBiCGStab	5.079940e-02	7.460290e-04	1	true	GAMG	4.675570e-01	1.585550e-02	4	true	diagonal	0.000000e+00	0.000000e+00	0	true
2.10276       	DILUPBiCGStab	1.532200e-01	2.184550e-03	1	1.410050e-01	1.953820e-03	1	1.448090e-01	1.549510e-03	1	false	DILUPBiCGStab	5.689360e-02	9.173160e-04	1	true	GAMG	4.612600e-01	1.554850e-02	4	true	diagonal	0.000000e+00	0.000000e+00	0	true
2.22653       	DILUPBiCGStab	2.458230e-01	2.293490e-02	1	2.369970e-01	1.936380e-02	1	2.612240e-01	4.027770e-03	1	false	DILUPBiCGStab	6.516200e-02	1.113950e-03	1	true	GAMG	7.212170e-01	2.110700e-02	4	true	diagonal	0.000000e+00	0.000000e+00	0	true
2.37441       	DILUPBiCGStab	6.296380e-01	8.795190e-03	1	6.067650e-01	5.636990e-02	1	6.111830e-01	9.492190e-03	1	false	DILUPBiCGStab	7.293560e-02	1.341840e-03	1	true	GAMG	9.328620e-01	2.707430e-02	4	true	diagonal	0.000000e+00	0.000000e+00	0	true
2.54452       	DILUPBiCGStab	8.358730e-01	1.633720e-02	1	8.184920e-01	1.443410e-02	1	8.565510e-01	2.000040e-02	1	false	DILUPBiCGStab	9.709570e-02	1.978590e-03	1	true	GAMG	9.663010e-01	2.741900e-02	4	true	diagonal	0.000000e+00	0.000000e+00	0	true
2.62769       	DILUPBiCGStab	7.728380e-01	6.714410e-02	1	7.754690e-01	5.726520e-02	1	7.471790e-01	6.455190e-02	1	false	DILUPBiCGStab	6.634860e-02	5.134250e-03	1	true	GAMG	9.397810e-01	2.521980e-02	4	true	diagonal	0.000000e+00	0.000000e+00	0	true
2.6933        	DILUPBiCGStab	6.646540e-01	5.783060e-02	1	5.894320e-01	3.802840e-02	1	6.316010e-01	6.061790e-02	1	false	DILUPBiCGStab	4.961310e-02	4.016090e-03	1	true	GAMG	8.777650e-01	2.735430e-02	4	true	diagonal	0.000000e+00	0.000000e+00	0	true
2.77212       	DILUPBiCGStab	5.122270e-01	3.465690e-02	1	5.239670e-01	2.996810e-02	1	5.406210e-01	4.160230e-02	1	false	DILUPBiCGStab	4.776420e-02	2.920240e-03	1	true	GAMG	9.159140e-01	3.104380e-02	4	true	diagonal	0.000000e+00	0.000000e+00	0	true
2.86671       	DILUPBiCGStab	7.475480e-01	5.707410e-02	1	6.734260e-01	4.121660e-02	1	6.842130e-01	6.030960e-02	1	false	DILUPBiCGStab	4.998130e-02	3.422420e-03	1	true	GAMG	9.327850e-01	2.795490e-02	4	true	diagonal	0.000000e+00	0.000000e+00	0	true
2.98021       	DILUPBiCGStab	8.034120e-01	5.673760e-02	1	8.202200e-01	5.417350e-02	1	8.410960e-01	7.663450e-02	1	false	DILUPBiCGStab	6.883780e-02	5.142830e-03	1	true	GAMG	9.538610e-01	2.535500e-02	4	true	diagonal	0.000000e+00	0.000000e+00	0	true
3.11614       	DILUPBiCGStab	9.692940e-01	8.396650e-02	1	9.558450e-01	6.966250e-02	1	9.485940e-01	1.020890e-02	1	false	DILUPBiCGStab	1.271740e-01	1.237510e-02	1	true	GAMG	9.797120e-01	2.892620e-02	4	true	diagonal	0.000000e+00	0.000000e+00	0	true
3.15814       	DILUPBiCGStab	5.654650e-01	4.415020e-02	1	5.850760e-01	3.890790e-02	1	5.946990e-01	5.106070e-02	1	false	DILUPBiCGStab	6.014360e-02	4.298330e-03	1	true	GAMG	8.293560e-01	3.333880e-02	4	true	diagonal	0.000000e+00	0.000000e+00	0	true
3.20583       	DILUPBiCGStab	3.670860e-01	2.691090e-02	1	3.355250e-01	2.235580e-02	1	4.369100e-01	4.143110e-02	1	false	DILUPBiCGStab	4.767630e-02	4.153050e-03	1	true	GAMG	6.959040e-01	3.118070e-02	4	true	diagonal	0.000000e+00	0.000000e+00	0	true
3.26303       	DILUPBiCGStab	2.302120e-01	1.816470e-02	1	2.787440e-01	2.098490e-02	1	3.045030e-01	2.702020e-03	1	false	DILUPBiCGStab	4.244410e-02	3.530580e-03	1	true	GAMG	7.168930e-01	3.321620e-02	4	true	diagonal	0.000000e+00	0.000000e+00	0	true
3.3316        	DILUPBiCGStab	1.983760e-01	1.613900e-02	1	2.301440e-01	1.775090e-02	1	2.484590e-01	3.284790e-03	1	false	DILUPBiCGStab	4.511480e-02	3.803120e-03	1	true	GAMG	7.153320e-01	3.141410e-02	4	true	diagonal	0.000000e+00	0.000000e+00	0	true
3.41399       	DILUPBiCGStab	2.140630e-01	1.804130e-02	1	2.654800e-01	2.148450e-02	1	2.578620e-01	3.050440e-03	1	false	DILUPBiCGStab	4.777440e-02	4.087680e-03	1	true	GAMG	7.407510e-01	3.049040e-02	4	true	diagonal	0.000000e+00	0.000000e+00	0	true
3.51301       	DILUPBiCGStab	2.311970e-01	1.933600e-02	1	2.942780e-01	2.392380e-02	1	2.804370e-01	4.042690e-03	1	false	DILUPBiCGStab	5.246790e-02	4.539520e-03	1	true	GAMG	8.073940e-01	2.788470e-02	4	true	diagonal	0.000000e+00	0.000000e+00	0	true
3.63172       	DILUPBiCGStab	4.937850e-01	4.542740e-02	1	5.692610e-01	5.022790e-02	1	5.256070e-01	8.113530e-03	1	false	DILUPBiCGStab	5.681580e-02	5.538150e-03	1	true	GAMG	9.107120e-01	2.607220e-02	4	true	diagonal	0.000000e+00	0.000000e+00	0	true
3.77418       	DILUPBiCGStab	7.383830e-01	9.293500e-03	1	8.047080e-01	7.912020e-02	1	7.859270e-01	1.318150e-02	1	false	DILUPBiCGStab	6.863950e-02	9.870230e-04	1	true	GAMG	9.679720e-01	4.555370e-02	3	true	diagonal	0.000000e+00	0.000000e+00	0	true
3.93621       	DILUPBiCGStab	9.525080e-01	1.667940e-02	1	9.553900e-01	1.536700e-02	1	9.444360e-01	2.352950e-02	1	false	DILUPBiCGStab	9.646820e-02	2.389430e-03	1	true	GAMG	9.780720e-01	4.785500e-02	3	true	diagonal	0.000000e+00	0.000000e+00	0	true
3.97416       	DILUPBiCGStab	5.436350e-01	3.514780e-02	1	5.667550e-01	3.702750e-02	1	6.689210e-01	6.711640e-03	1	false	DILUPBiCGStab	4.553980e-02	3.292540e-03	1	true	GAMG	8.359230e-01	3.008970e-02	4	true	diagonal	0.000000e+00	0.000000e+00	0	true
4.01638       	DILUPBiCGStab	3.437920e-01	2.471070e-02	1	3.420220e-01	2.160430e-02	1	4.077960e-01	4.339220e-03	1	false	DILUPBiCGStab	3.638840e-02	3.189390e-03	1	true	GAMG	7.064980e-01	3.034910e-02	4	true	diagonal	0.000000e+00	0.000000e+00	0	true
4.06575       	DILUPBiCGStab	1.920780e-01	1.305120e-02	1	2.088680e-01	1.583090e-02	1	2.643810e-01	2.109740e-03	1	false	DILUPBiCGStab	3.147400e-02	1.919290e-03	1	true	GAMG	6.296170e-01	1.778600e-02	5	true	diagonal	0.000000e+00	0.000000e+00	0	true
4.12342       	DILUPBiCGStab	1.545210e-01	1.011750e-02	1	1.725250e-01	1.249750e-02	1	1.839380e-01	1.676190e-02	1	false	DILUPBiCGStab	3.237510e-02	2.120940e-03	1	true	GAMG	6.138980e-01	2.745790e-02	4	true	diagonal	0.000000e+00	0.000000e+00	0	true
4.19187       	DILUPBiCGStab	1.301650e-01	1.006700e-02	1	1.502880e-01	1.153730e-02	1	1.509800e-01	1.491400e-02	1	false	DILUPBiCGStab	3.466840e-02	2.461590e-03	1	true	GAMG	5.531250e-01	2.675160e-02	4	true	diagonal	0.000000e+00	0.000000e+00	0	true
4.27315       	DILUPBiCGStab	1.240170e-01	9.311570e-03	1	1.435580e-01	1.089360e-02	1	1.385800e-01	1.233570e-02	1	false	DILUPBiCGStab	3.870510e-02	3.050470e-03	1	true	GAMG	6.104150e-01	2.220820e-02	4	true	diagonal	0.000000e+00	0.000000e+00	0	true
4.36956       	DILUPBiCGStab	2.109050e-01	1.863260e-02	1	2.311130e-01	1.921190e-02	1	2.138440e-01	2.218020e-03	1	false	DILUPBiCGStab	4.238650e-02	3.644840e-03	1	true	GAMG	7.376950e-01	2.581390e-02	4	true	diagonal	0.000000e+00	0.000000e+00	0	true
4.48354       	DILUPBiCGStab	3.586070e-01	3.297800e-02	1	4.120530e-01	3.493050e-02	1	4.039690e-01	4.582500e-03	1	false	DILUPBiCGStab	4.733520e-02	4.619750e-03	1	true	GAMG	8.848000e-01	2.659590e-02	4	true	diagonal	0.000000e+00	0.000000e+00	0	true
4.61941       	DILUPBiCGStab	7.551790e-01	1.013270e-02	1	7.561610e-01	6.307930e-02	1	7.188350e-01	8.773290e-03	1	false	DILUPBiCGStab	5.001550e-02	7.915550e-04	1	true	GAMG	9.611080e-01	2.751000e-02	4	true	diagonal	0.000000e+00	0.000000e+00	0	true
4.77618       	DILUPBiCGStab	8.885320e-01	1.557240e-02	1	9.171840e-01	1.384830e-02	1	9.355150e-01	1.784310e-02	1	false	DILUPBiCGStab	7.501720e-02	1.715760e-03	1	true	GAMG	9.827340e-01	2.769110e-02	4	true	diagonal	0.000000e+00	0.000000e+00	0	true
4.83129       	DILUPBiCGStab	7.934640e-01	5.526210e-02	1	7.448280e-01	5.118900e-02	1	7.445500e-01	8.732210e-03	1	false	DILUPBiCGStab	3.804380e-02	2.252060e-03	1	true	GAMG	8.993610e-01	3.372230e-02	4	true	diagonal	0.000000e+00	0.000000e+00	0	true
4.89392       	DILUPBiCGStab	5.531300e-01	4.690260e-02	1	6.196860e-01	5.339300e-02	1	6.417110e-01	6.211460e-03	1	false	DILUPBiCGStab	3.862650e-02	2.677840e-03	1	true	GAMG	8.004600e-01	3.381510e-02	4	true	diagonal	0.000000e+00	0.000000e+00	0	true
