x,T
0.0001,289.328
0.00110808,289.015
0.00211616,288.702
0.00312424,288.389
0.00413232,288.077
0.0051404,287.788
0.00614848,287.67
0.00715657,287.552
0.00816465,287.434
0.00917273,287.316
0.0101808,287.201
0.0111889,287.099
0.012197,286.997
0.0132051,286.895
0.0142131,286.793
0.0152212,286.685
0.0162293,286.532
0.0172374,286.379
0.0182455,286.226
0.0192535,286.073
0.0807465,285.889
0.0817545,285.916
0.0827626,285.944
0.0837707,285.971
0.0847788,285.999
0.0857869,285.962
0.0867949,285.912
0.087803,285.862
0.0888111,285.813
0.0898192,285.763
0.0908273,285.589
0.0918354,285.395
0.0928434,285.202
0.0938515,285.009
0.0948596,284.815
