x,T
0.0201,285.947
0.0213204,285.851
0.0225408,285.791
0.0237612,285.764
0.0249816,285.751
0.026202,285.737
0.0274224,285.725
0.0286429,285.716
0.0298633,285.707
0.0310837,285.699
0.0323041,285.692
0.0335245,285.686
0.0347449,285.68
0.0359653,285.674
0.0371857,285.671
0.0384061,285.667
0.0396265,285.664
0.0408469,285.661
0.0420673,285.659
0.0432878,285.658
0.0445082,285.656
0.0457286,285.655
0.046949,285.654
0.0481694,285.654
0.0493898,285.653
0.0506102,285.653
0.0518306,285.653
0.053051,285.653
0.0542714,285.653
0.0554918,285.654
0.0567122,285.655
0.0579327,285.656
0.0591531,285.657
0.0603735,285.659
0.0615939,285.662
0.0628143,285.665
0.0640347,285.668
0.0652551,285.674
0.0664755,285.681
0.0676959,285.688
0.0689163,285.696
0.0701367,285.707
0.0713571,285.718
0.0725776,285.729
0.073798,285.738
0.0750184,285.745
0.0762388,285.752
0.0774592,285.759
0.0786796,285.77
0.0799,285.816
