x,T
0.0001,287.266
0.00110808,287.058
0.00211616,286.851
0.00312424,286.644
0.00413232,286.436
0.0051404,286.242
0.00614848,286.139
0.00715657,286.037
0.00816465,285.934
0.00917273,285.832
0.0101808,285.739
0.0111889,285.707
0.012197,285.676
0.0132051,285.644
0.0142131,285.612
0.0152212,285.588
0.0162293,285.595
0.0172374,285.602
0.0182455,285.609
0.0192535,285.616
0.0807465,285.668
0.0817545,285.704
0.0827626,285.741
0.0837707,285.778
0.0847788,285.815
0.0857869,285.809
0.0867949,285.794
0.087803,285.78
0.0888111,285.765
0.0898192,285.751
0.0908273,285.678
0.0918354,285.597
0.0928434,285.516
0.0938515,285.435
0.0948596,285.354
0.0958677,285.137
0.0968758,284.901
0.0978838,284.665
0.0988919,284.429
0.0999,284.193
