# Solver information
# Time        	h_solver      	h_initial     	h_final       	h_iters       	h_converged   
7.05471       	DICPCG	1.950390e-03	8.695880e-07	1	true
7.10657       	DICPCG	2.350700e-03	8.431220e-10	2	true
7.1687        	DICPCG	2.843380e-03	1.454960e-09	2	true
7.24331       	DICPCG	3.466000e-03	2.554060e-09	2	true
7.33299       	DICPCG	4.234220e-03	4.548650e-09	2	true
7.44072       	DICPCG	5.148260e-03	8.125000e-09	2	true
7.56983       	DICPCG	6.220170e-03	1.454050e-08	2	true
7.72408       	DICPCG	7.449500e-03	2.592900e-08	2	true
7.90984       	DICPCG	9.145460e-03	4.734740e-08	2	true
8.02454       	DICPCG	5.936100e-03	1.304220e-08	2	true
8.0509        	DICPCG	1.404860e-03	4.084020e-07	1	true
8.08252       	DICPCG	1.733000e-03	6.016270e-07	1	true
8.12045       	DICPCG	2.135680e-03	8.623510e-07	1	true
8.16595       	DICPCG	2.625020e-03	7.378970e-10	2	true
8.22061       	DICPCG	3.221720e-03	1.289110e-09	2	true
8.28615       	DICPCG	3.930180e-03	2.267230e-09	2	true
8.36462       	DICPCG	4.763610e-03	4.012100e-09	2	true
8.45861       	DICPCG	5.736480e-03	7.143830e-09	2	true
8.57113       	DICPCG	6.873980e-03	1.276800e-08	2	true
8.7058        	DICPCG	8.141130e-03	2.257870e-08	2	true
8.86399       	DICPCG	9.773510e-03	3.931790e-08	2	true
8.92267       	DICPCG	3.747810e-03	1.809990e-09	2	true
8.9545        	DICPCG	2.066180e-03	7.161960e-07	1	true
8.99271       	DICPCG	2.422600e-03	9.832860e-07	1	true
9.03857       	DICPCG	2.844400e-03	7.910030e-10	2	true
9.09361       	DICPCG	3.324320e-03	1.362170e-09	2	true
9.15961       	DICPCG	3.890930e-03	2.362950e-09	2	true
9.23882       	DICPCG	4.563500e-03	4.123180e-09	2	true
9.33376       	DICPCG	5.371550e-03	7.226560e-09	2	true
9.44729       	DICPCG	6.340910e-03	1.257520e-08	2	true
9.58253       	DICPCG	7.530050e-03	2.220740e-08	2	true
9.68073       	DICPCG	5.624440e-03	8.263700e-09	2	true
9.72136       	DICPCG	2.463140e-03	5.556920e-10	2	true
9.77018       	DICPCG	2.950950e-03	9.701230e-10	2	true
9.82875       	DICPCG	3.525430e-03	1.701100e-09	2	true
9.89899       	DICPCG	4.170760e-03	3.012280e-09	2	true
9.98335       	DICPCG	4.934700e-03	5.304490e-09	2	true
10.0848       	DICPCG	5.866500e-03	9.511590e-09	2	true
10.2023       	DICPCG	6.914560e-03	1.541360e-08	2	true
10.2409       	DICPCG	2.283730e-03	5.047290e-10	2	true
10.2869       	DICPCG	2.745170e-03	8.513860e-10	2	true
10.342        	DICPCG	3.328920e-03	1.468530e-09	2	true
10.408        	DICPCG	4.005420e-03	2.517660e-09	2	true
10.4873       	DICPCG	4.858490e-03	4.416580e-09	2	true
10.5822       	DICPCG	5.820450e-03	7.602770e-09	2	true
10.6957       	DICPCG	7.060800e-03	1.332720e-08	2	true
10.8294       	DICPCG	8.316060e-03	2.251970e-08	2	true
10.8502       	DICPCG	1.332610e-03	2.746370e-07	1	true
10.8749       	DICPCG	1.622310e-03	3.880380e-07	1	true
10.9045       	DICPCG	2.000050e-03	5.591080e-07	1	true
10.94         	DICPCG	2.446870e-03	7.993680e-07	1	true
10.9826       	DICPCG	2.988250e-03	6.980640e-10	2	true
11.0338       	DICPCG	3.639040e-03	1.227500e-09	2	true
11.095        	DICPCG	4.410910e-03	2.142840e-09	2	true
11.1686       	DICPCG	5.353230e-03	3.769870e-09	2	true
11.2567       	DICPCG	6.465460e-03	6.579560e-09	2	true
11.3608       	DICPCG	7.710710e-03	1.104980e-08	2	true
11.4848       	DICPCG	9.227570e-03	1.900760e-08	2	true
11.6317       	DICPCG	1.103290e-02	3.249220e-08	2	true
11.8009       	DICPCG	1.238280e-02	5.035370e-08	2	true
