x,T
0.0001,289.445
0.00110808,288.874
0.00211616,288.303
0.00312424,287.733
0.00413232,287.162
0.0051404,286.637
0.00614848,286.426
0.00715657,286.216
0.00816465,286.006
0.00917273,285.796
0.0101808,285.61
0.0111889,285.57
0.012197,285.53
0.0132051,285.49
0.0142131,285.45
0.0152212,285.417
0.0162293,285.412
0.0172374,285.406
0.0182455,285.401
0.0192535,285.396
0.0807465,286.023
0.0817545,286.031
0.0827626,286.039
0.0837707,286.047
0.0847788,286.054
0.0857869,286.015
0.0867949,285.965
0.087803,285.915
0.0888111,285.866
0.0898192,285.816
0.0908273,285.619
0.0918354,285.399
0.0928434,285.18
0.0938515,284.961
0.0948596,284.741
0.0958677,284.215
0.0968758,283.644
0.0978838,283.074
0.0988919,282.503
0.0999,281.933
