x,T
0.0001,286.364
0.00110808,286.315
0.00211616,286.265
0.00312424,286.215
0.00413232,286.166
0.0051404,286.119
0.00614848,286.087
0.00715657,286.056
0.00816465,286.025
0.00917273,285.993
0.0101808,285.963
0.0111889,285.939
0.012197,285.916
0.0132051,285.892
0.0142131,285.868
0.0152212,285.844
0.0162293,285.818
0.0172374,285.792
0.0182455,285.767
0.0192535,285.741
0.0807465,285.566
0.0817545,285.537
0.0827626,285.509
0.0837707,285.481
0.0847788,285.452
0.0857869,285.43
0.0867949,285.407
0.087803,285.385
0.0888111,285.363
0.0898192,285.341
0.0908273,285.311
0.0918354,285.28
0.0928434,285.249
0.0938515,285.217
0.0948596,285.186
