x,T
0.0001,289.096
0.00110808,288.526
0.00211616,287.957
0.00312424,287.387
0.00413232,286.818
0.0051404,286.293
0.00614848,286.086
0.00715657,285.879
0.00816465,285.672
0.00917273,285.465
0.0101808,285.283
0.0111889,285.249
0.012197,285.215
0.0132051,285.182
0.0142131,285.148
0.0152212,285.129
0.0162293,285.182
0.0172374,285.235
0.0182455,285.288
0.0192535,285.341
0.0807465,285.991
0.0817545,286.01
0.0827626,286.03
0.0837707,286.049
0.0847788,286.068
0.0857869,286.067
0.0867949,286.061
0.087803,286.055
0.0888111,286.05
0.0898192,286.044
0.0908273,285.903
0.0918354,285.741
0.0928434,285.58
0.0938515,285.419
0.0948596,285.257
0.0958677,284.746
0.0968758,284.184
0.0978838,283.623
0.0988919,283.062
0.0999,282.5
