x,T
0.0201,285.796
0.0213204,285.715
0.0225408,285.691
0.0237612,285.681
0.0249816,285.675
0.026202,285.67
0.0274224,285.665
0.0286429,285.661
0.0298633,285.658
0.0310837,285.654
0.0323041,285.653
0.0335245,285.652
0.0347449,285.651
0.0359653,285.651
0.0371857,285.65
0.0384061,285.65
0.0396265,285.65
0.0408469,285.65
0.0420673,285.65
0.0432878,285.65
0.0445082,285.65
0.0457286,285.65
0.046949,285.65
0.0481694,285.65
0.0493898,285.65
0.0506102,285.65
0.0518306,285.65
0.053051,285.65
0.0542714,285.65
0.0554918,285.65
0.0567122,285.65
0.0579327,285.65
0.0591531,285.65
0.0603735,285.65
0.0615939,285.65
0.0628143,285.65
0.0640347,285.65
0.0652551,285.649
0.0664755,285.649
0.0676959,285.648
0.0689163,285.647
0.0701367,285.645
0.0713571,285.642
0.0725776,285.639
0.073798,285.636
0.0750184,285.633
0.0762388,285.63
0.0774592,285.628
0.0786796,285.63
0.0799,285.644
