# Solver information
# Time        	h_solver      	h_initial     	h_final       	h_iters       	h_converged   
8.20718       	DICPCG	8.636060e-03	2.500420e-09	2	true
8.39172       	DICPCG	1.012390e-02	4.224950e-09	2	true
8.61316       	DICPCG	1.184560e-02	7.157540e-09	2	true
8.80824       	DICPCG	1.019290e-02	4.752890e-09	2	true
8.8172        	DICPCG	4.652070e-04	1.873760e-08	1	true
8.82796       	DICPCG	5.575900e-04	2.694560e-08	1	true
8.84086       	DICPCG	6.683420e-04	3.875930e-08	1	true
8.85635       	DICPCG	8.009090e-04	5.574040e-08	1	true
8.87495       	DICPCG	9.595120e-04	8.014050e-08	1	true
8.89726       	DICPCG	1.147830e-03	1.149210e-07	1	true
8.92401       	DICPCG	1.372640e-03	1.647520e-07	1	true
8.95609       	DICPCG	1.640910e-03	2.361400e-07	1	true
8.99457       	DICPCG	1.959370e-03	3.378800e-07	1	true
9.04043       	DICPCG	2.324040e-03	4.773560e-07	1	true
9.09453       	DICPCG	2.725720e-03	6.599170e-07	1	true
9.15815       	DICPCG	3.183770e-03	9.056390e-07	1	true
9.23288       	DICPCG	3.709930e-03	2.489350e-10	2	true
9.32047       	DICPCG	4.308970e-03	3.977840e-10	2	true
9.42229       	DICPCG	4.955520e-03	6.189460e-10	2	true
9.53941       	DICPCG	5.632050e-03	9.323470e-10	2	true
9.67623       	DICPCG	6.487950e-03	1.468550e-09	2	true
9.79689       	DICPCG	5.648320e-03	9.918710e-10	2	true
9.82635       	DICPCG	1.372250e-03	1.814330e-07	1	true
9.85956       	DICPCG	1.541250e-03	2.295570e-07	1	true
9.89858       	DICPCG	1.804350e-03	3.156630e-07	1	true
9.9442        	DICPCG	2.100080e-03	4.292800e-07	1	true
9.99759       	DICPCG	2.444610e-03	5.843170e-07	1	true
10.0598       	DICPCG	2.832940e-03	7.888490e-07	1	true
10.1324       	DICPCG	3.277200e-03	2.073140e-10	2	true
10.2168       	DICPCG	3.786060e-03	3.239680e-10	2	true
10.3154       	DICPCG	4.375520e-03	5.102770e-10	2	true
10.4301       	DICPCG	5.038250e-03	7.974330e-10	2	true
10.5638       	DICPCG	5.797270e-03	1.247910e-09	2	true
10.6938       	DICPCG	5.571010e-03	1.134080e-09	2	true
10.7169       	DICPCG	9.844200e-04	1.020110e-07	1	true
10.7436       	DICPCG	1.136220e-03	1.361780e-07	1	true
10.7754       	DICPCG	1.350430e-03	1.928260e-07	1	true
10.8135       	DICPCG	1.608500e-03	2.743390e-07	1	true
10.8591       	DICPCG	1.921290e-03	3.927240e-07	1	true
10.9139       	DICPCG	2.297260e-03	5.637160e-07	1	true
10.9797       	DICPCG	2.742790e-03	8.074240e-07	1	true
11.0585       	DICPCG	3.259380e-03	2.427540e-10	2	true
11.1527       	DICPCG	3.866040e-03	4.101450e-10	2	true
11.2653       	DICPCG	4.575490e-03	6.944870e-10	2	true
11.3999       	DICPCG	5.409760e-03	1.177260e-09	2	true
11.5618       	DICPCG	6.415880e-03	2.024130e-09	2	true
11.7485       	DICPCG	7.280900e-03	3.059850e-09	2	true
11.7679       	DICPCG	7.540050e-04	6.572900e-08	1	true
11.7908       	DICPCG	8.895290e-04	9.162370e-08	1	true
11.8183       	DICPCG	1.062810e-03	1.310380e-07	1	true
11.8512       	DICPCG	1.271920e-03	1.880880e-07	1	true
